Year,Country,Location,Name,Type,VEI,Coordinates
1996,Iceland,Iceland-NE,Grimsvotn,Caldera,3.0,"64.42, -17.33"
1996,Philippines,Philippines-C,Kanlaon,Stratovolcano,2.0,"10.412, 123.132"
1995,Vanuatu,Vanuatu-SW Pacific,Yasur,Stratovolcano,3.0,"-19.52, 169.425"
1995,Cape Verde,Cape Verde Is,Fogo,Stratovolcano,2.0,"14.95, -24.35"
1995,Japan,Honshu-Japan,Yake-dake,Stratovolcano,1.0,"36.22, 137.58"
1995,Guatemala,Guatemala,Pacaya,Complex volcano,3.0,"14.381, -90.601"
1994,Indonesia,Java,Semeru,Stratovolcano,3.0,"-8.108, 112.92"
1994,Vanuatu,Vanuatu-SW Pacific,Yasur,Stratovolcano,3.0,"-19.52, 169.425"
1994,Japan,Kyushu-Japan,Aso,Caldera,1.0,"32.88, 131.1"
1994,Indonesia,Lesser Sunda Is,Rinjani,Stratovolcano,3.0,"-8.42, 116.47"
1994,Papua New Guinea,New Britain-SW Pac,Rabaul,Pyroclastic shield,3.0,"-4.271, 152.203"
1994,Indonesia,Java,Merapi,Stratovolcano,3.0,"-7.542, 110.442"
1993,Indonesia,Indonesia,Krakatau,Caldera,1.0,"-6.102, 105.423"
1993,Ecuador,Ecuador,Guagua Pichincha,Stratovolcano,1.0,"-0.171, -78.598"
1993,Colombia,Colombia,Galeras,Complex volcano,2.0,"1.22, -77.37"
1993,Philippines,Luzon-Philippines,Pinatubo,Stratovolcano,1.0,"15.13, 120.35"
1993,Philippines,Luzon-Philippines,Mayon,Stratovolcano,2.0,"13.257, 123.685"
1993,Japan,Kyushu-Japan,Unzen,Complex volcano,1.0,"32.75, 130.3"
1992,Indonesia,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,1.0,"2.78, 125.48"
1992,United States,Alaska-SW,Spurr,Stratovolcano,4.0,"61.3, -152.25"
1992,Indonesia,Java,Semeru,Stratovolcano,3.0,"-8.108, 112.92"
1992,Indonesia,Sumatra,Marapi,Complex volcano,2.0,"-0.381, 100.473"
1992,Philippines,Luzon-Philippines,Pinatubo,Stratovolcano,1.0,"15.13, 120.35"
1992,Indonesia,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,2.0,"2.78, 125.48"
1991,Philippines,Luzon-Philippines,Pinatubo,Stratovolcano,6.0,"15.13, 120.35"
1991,Indonesia,Sulawesi-Indonesia,Lokon-Empung,Stratovolcano,1.0,"1.358, 124.792"
1991,Comoros,Indian O-W,Karthala,Shield volcano,2.0,"-11.75, 43.38"
1991,Italy,Italy,Etna,Stratovolcano,2.0,"37.734, 15.004"
1991,Japan,Kyushu-Japan,Unzen,Complex volcano,1.0,"32.75, 130.3"
1990,Guatemala,Guatemala,Santa Maria,Stratovolcano,3.0,"14.756, -91.552"
1990,Indonesia,Java,Kelut,Stratovolcano,4.0,"-7.93, 112.308"
1990,Japan,Kyushu-Japan,Aso,Caldera,2.0,"32.88, 131.1"
1990,Peru,Peru,Sabancaya,Stratovolcano,3.0,"-15.78, -71.85"
1990,Japan,Kyushu-Japan,Aso,Caldera,2.0,"32.88, 131.1"
1990,Japan,Kyushu-Japan,Aso,Caldera,2.0,"32.88, 131.1"
1990,Russia,Kamchatka,Shiveluch,Stratovolcano,3.0,"56.653, 161.36"
1988,Costa Rica,Costa Rica,Arenal,Stratovolcano,3.0,"10.463, -84.703"
1988,Indonesia,Java,Semeru,Stratovolcano,3.0,"-8.108, 112.92"
1988,Pacific Ocean,Banda Sea,Banda Api,Caldera,3.0,"-4.525, 129.871"
1988,Chile,Chile-C,Lonquimay,Stratovolcano,3.0,"-38.377, -71.58"
1987,Italy,Italy,Etna,Stratovolcano,2.0,"37.734, 15.004"
1987,Guatemala,Guatemala,Pacaya,Complex volcano,3.0,"14.381, -90.601"
1986,Italy,Italy,Stromboli,Stratovolcano,2.0,"38.789, 15.213"
1986,Cameroon,Africa-W,Oku Volc Field,Maar,3.0,"6.25, 10.5"
1986,Indonesia,Java,Merapi,Stratovolcano,2.0,"-7.542, 110.442"
1986,Japan,Izu Is-Japan,Oshima,Stratovolcano,3.0,"34.73, 139.38"
1985,Indonesia,Java,Semeru,Stratovolcano,3.0,"-8.108, 112.92"
1985,Colombia,Colombia,Ruiz,Stratovolcano,3.0,"4.895, -75.322"
1985,Italy,Italy,Etna,Stratovolcano,1.0,"37.734, 15.004"
1984,Italy,Italy,Etna,Stratovolcano,3.0,"37.734, 15.004"
1984,Philippines,Luzon-Philippines,Mayon,Stratovolcano,3.0,"13.257, 123.685"
1983,Indonesia,Lesser Sunda Is,Iliwerung,Complex volcano,1.0,"-8.54, 123.59"
1983,Indonesia,Sulawesi-Indonesia,Colo [Una Una],Stratovolcano,4.0,"-0.17, 121.608"
1983,Japan,Izu Is-Japan,Miyake-jima,Stratovolcano,3.0,"34.08, 139.53"
1983,Russia,Kamchatka,Kliuchevskoi,Stratovolcano,2.0,"56.057, 160.638"
